ma_to_hop,xu_huong,r_squared,p_value,ket_luan
A00,0.5377018633540369,0.506608385969583,0.11264646031920358,Tăng
A01,-0.1450000000000002,0.028785395859440684,0.7160993754922653,Giảm
B00,-1.2232142857142858,0.8001270995225959,0.006555488854735232,Giảm
B01,0.5735714285714286,0.6247689123669187,0.03437360819116242,Tăng
C00,0.16771428571428543,0.06740817109052191,0.6193043656569288,Tăng
C01,-0.14964285714285705,0.047767333381219995,0.6377632530969233,Giảm
D01,0.15178571428571427,0.0152725166570839,0.791799045258384,Tăng
D02,-0.9867857142857142,0.40219395793083196,0.1261011258697195,Giảm
