ma_to_hop,diem_trung_binh,do_lech_chuan,ty_le_dat,diem_chuan_tb,diem_do_kho,hang_do_kho,muc_do_kho
B00,-1.4649715994329386,2.1777185389716083,72.31,-1.3615130728692881,2.2811770655352586,1.0,Khó
A01,0.2771567890819058,0.617561973738219,78.17,1.427748205429759,1.7681533900860722,2.0,Khó
D02,-0.5939074051755164,-0.8559192267599838,76.77,0.876784634568768,0.6147728129843006,3.0,Trung bình
A00,0.5411156358265782,0.2708605147974654,76.01,0.2885520346845769,0.018296913655464153,4.0,Trung bình
C01,0.8050744825712529,0.09750978532708864,80.83,0.6203418617917387,-0.0872228354524256,5.0,Trung bình
C00,-0.9634497906180582,-0.5958931325544186,76.26,-0.9985121872329544,-0.6309555291693147,6.0,Dễ
D01,1.8345139848754781,-0.5092177678192301,79.73,0.4421507993850746,-1.9015809533096337,7.0,Dễ
B01,-0.4355320971287111,-1.2026206857007373,74.44,-1.2955522757576377,-2.062640864329664,8.0,Dễ
