ma_to_hop,diem_trung_binh,do_lech_chuan,ty_le_dat,diem_chuan_tb,diem_do_kho,hang_do_kho,muc_do_kho
D01,-0.5893807801302663,0.7713786366308468,77.44,-0.2618741762354282,1.0988852405256848,1.0,Khó
B01,-0.558155308335286,0.09723260125598937,81.04,0.14667430401290177,0.8020622136041771,2.0,Khó
C00,-0.9328609698750571,0.8232360239673733,82.7,-0.9858600756485265,0.7702369181939039,3.0,Khó
B00,1.3778239429535295,0.4602343126116813,70.54,1.3330659461228112,0.4154763157809629,4.0,Khó
A00,0.2537069583342192,-0.31762649743623134,81.07,0.9115199929612897,0.34018653719083913,5.0,Khó
A01,-1.5573704057746727,-2.080777666878168,79.83,0.26912298267103996,-0.2542842784324555,6.0,Trung bình
C01,0.8157654506438743,-0.8880577581380348,73.76,0.5703585629602537,-1.1334646458216553,7.0,Dễ
D02,1.1904711121836453,1.1343803479865389,73.8,-1.9830075368443079,-2.039098301041414,8.0,Dễ
