ma_to_hop,xu_huong,r_squared,p_value,ket_luan
A00,-0.3042857142857145,0.10352841845844929,0.481596793176886,Giảm
A01,-0.06590062111801277,0.008506844110920462,0.8620434722207979,Giảm
B00,0.018571428571428808,0.0004567592257255565,0.963726176896017,Ổn định
B01,0.0250000000000001,0.0020166003246315134,0.9238410787034435,Ổn định
C00,0.17599999999999957,0.017529804893823348,0.8025602202622106,Tăng
C01,-1.0132142857142858,0.6770294137043678,0.023013575405297297,Giảm
D01,-0.010000000000000167,9.857221168885711e-05,0.9831459335889163,Ổn định
D02,-0.12819875776397524,0.2972524445322686,0.2632193610807298,Giảm
